Name,Gender,Nationality,Age,Stroke,Speciality,US College / University,DI Conference,Birthday,Previous US College / University,Previous DI Conference,Continent 1,Continent 2,ISL Team,Former ISL Teams,Image,,,,,NCAA College,Conference,,USA,North America,
Aaron Shackell,Male,USA,19,"Fly, Free",Stroke,"University of California, Berkeley",ACC,9/8/2004,,,North America,,N/A,,,,,,,"University of California, Berkeley",ACC,,CAN,North America,
Abbey Harkin,Female,AUS,26,"IM, Breast",Mid-D,N/A,N/A,5/6/1998,,,Austrailia,,N/A,,,,,,,N/A,N/A,,JAM,North America,
Abbey Weitzel,Female,USA,27,Free,Sprint,"University of California, Berkeley",ACC,12/3/1996,,,North America,,LAC,,,,,,,Stanford University,ACC,,CYM,North America,
Abbie Wood,Female,GBR,25,"IM, Breast",Mid-D,N/A,N/A,3/2/1999,,,Europe,,NYB,,,,,,,University of Florida,SEC,,BRA,South America,
Abrahm Devine,Male,USA,27,"IM, Back",Mid-D,Stanford University,ACC,9/3/1996,,,North America,,LAC,DCT,,,,,,Indiana University,B1G,,TTO,South America,
Adam Chaney,Male,USA,22,"Back, Free",Sprint,University of Florida,SEC,3/27/2002,,,North America,,N/A,,,,,,,North Carolina State University,ACC,,JPN,Asia,
Adam Peaty,Male,GBR,29,Breast,Sprint,N/A,N/A,12/28/1994,,,Europe,,LON,,,,,,,University of Virginia,ACC,,CHN,Asia,
Ahmed Hafnaoui,Male,TUN,21,Free,Distance,Indiana University,B1G,12/4/2002,,,Africa,,N/A,,,,,,,University of Michigan,B1G,,KOR,Asia,
Aiden Hayes,Male,USA,21,Fly,Stroke,North Carolina State University,ACC,1/1/2003,,,North America,,N/A,,,,,,,Texas A&M University,SEC,,SIN,Asia,
Aimee Canny,Female,RSA,20,Free,Sprint,University of Virginia,ACC,11/21/2003,,,Africa,,N/A,,,,,,,Penn State University,B1G,,HKG,Asia,
Alberto Razzetti,Male,ITA,24,"IM, Fly",Mid-D,N/A,N/A,6/2/1999,,,Europe,,TOR,,,,,,,University of Georgia,SEC,,RUS,Asia,Europe
Alessandro Miressi,Male,ITA,25,Free,Sprint,N/A,N/A,10/2/1998,,,Europe,,AQC,,,,,,,University of Louisville,ACC,,TUR,Asia,Europe
Alex Graham,Male,AUS,29,Free,Sprint,N/A,N/A,4/28/1995,,,Austrailia,,N/A,LON,,,,,,Emory University,N/A,,EGY,Asia,Africa
Alex Shackell,Female,USA,17,"Fly, Free",Stroke,"University of California, Berkeley",ACC,11/23/2006,,,North America,,N/A,,,,,,,University of Texas,SEC,,UKR,Europe,
Alex Walsh,Female,USA,22,IM,Stroke,University of Virginia,ACC,7/31/2001,,,North America,,N/A,,,,,,,University of Arkansas,SEC,,GER,Europe,
Alexandria Perkins,Female,AUS,23,Fly,Stroke,N/A,N/A,7/27/2000,,,Austrailia,,N/A,,,,,,,Auburn University,SEC,,FRA,Europe,
Alfonso Mestre,Male,VEN,22,Free,Distance,University of Florida,SEC,9/24/2001,,,South America,,N/A,,,,,,,University of Alabama,SEC,,ITA,Europe,
Ali DeLoof,Female,USA,29,"Back, Free",Sprint,University of Michigan,B1G,8/14/1994,,,North America,,DCT,"LAC, NYB",,,,,,Duke University,ACC,,POL,Europe,
Alia Atkinson,Female,JAM,35,Breast,Stroke,Texas A&M University,SEC,12/11/1988,,,North America,,LON,IRO,,,,,,University of Wisconsin,B1G,,NED,Europe,
Alley McCugh,Female,USA,27,"IM, Free",Distance,Penn State University,B1G,5/14/1997,,,North America,,N/A,,,,,,,University of Minnesota,B1G,,SUI,Europe,
Allison Schmitt,Female,USA,33,Free,Mid-D,University of Georgia,SEC,6/7/1990,,,North America,,N/A,CAC,,,,,,University of Arizona,BIG 12,,AUT,Europe,
Amy Bilquist,Female,USA,26,"Back, Free",Sprint,"University of California, Berkeley",ACC,8/11/1997,,,North America,,N/A,"LAC, DCT",,,,,,Louisiana State University,SEC,,GRE,Europe,
Anastasia Gorbenko,Female,ISR,20,"IM, Back",Stroke,N/A,N/A,8/7/2003,,,Asia,,LAC,,,,,,,Georgia Tech University,ACC,,SWE,Europe,
Andreas Vazaios,Male,GRE,30,"IM, Fly",Stroke,North Carolina State University,ACC,5/9/1994,,,Europe,,DCT,LON,,,,,,Ohio State University,B1G,,DEN,Europe,
Andrei Minakov,Male,RUS,22,"Fly, Free",Sprint,Stanford University,ACC,3/17/2002,,,Asia,Europe,N/A,,,,,,,University of Notre Dame,ACC,,ROM,Europe,
Andrej Barna,Male,SRB,26,Free,Sprint,University of Louisville,ACC,3/6/1998,,,Europe,,IRO,,,,,,,Harvard University,IV League,,HUN,Europe,
Andrew Seliskar,Male,USA,27,"IM, Free",Mid-D,"University of California, Berkeley",ACC,9/26/1996,,,North America,,N/A,LAC,,,,,,University of Southern California,B1G,,IRL,Europe,
Andrew Wilson,Male,USA,30,Breast,Stroke,Emory University,N/A,9/16/1993,,,North America,,N/A,CAC,,,,,,University of Tennessee,SEC,,LTU,Europe,
Andrii Govorov,Male,UKR,32,"Fly, Free",Sprint,N/A,N/A,4/10/1992,,,Europe,,N/A,TOR,,,,,,"University of Maryland, Baltimore County",America East,,ISL,Europe,
Anna Elendt,Female,GER,22,Breast,Stroke,University of Texas,SEC,9/4/2001,,,Europe,,N/A,,,,,,,University of Missouri,SEC,,GBR,Europe,
Anna Hopkin,Female,GBR,28,Free,Sprint,University of Arkansas,SEC,4/24/1996,,,Europe,,DCT,LON,,,,,,Arizona State University,BIG 12,,SRB,Europe,
Anna Peplowski,Female,USA,21,"Back, Free",Stroke,Indiana University,B1G,9/25/2002,,,North America,,N/A,,,,,,,Northwestern University,B1G,,RSA,Africa,
Annie Lazor,Female,USA,29,Breast,Stroke,Auburn University,SEC,8/17/1994,Ohio State University,B1G,North America,,LON,LAC,,,,,,University of South Carolina,SEC,,TUN,Africa,
Anthony Ervin,Male,USA,42,Free,Sprint,"University of California, Berkeley",ACC,5/26/1981,,,North America,,N/A,,,,,,,UCLA,B1G,,AUS,Austrailia,
Anton Chupkov,Male,RUS,27,Breast,Stroke,N/A,N/A,2/22/1997,,,Asia,Europe,N/A,ENS,,,,,,Grand Canyon University,N/A,,NZL,Austrailia,
Anton McKee,Male,ISL,30,Breast,Stroke,University of Alabama,SEC,12/18/1993,,,Europe,,TOR,,,,,,,University of Pennsylvania,IV League,,SPN,Europe,Africa
Apostolos Christou,Male,GRE,27,Back,Stroke,N/A,N/A,11/1/1996,,,Europe,,LAC,AQC,,,,,,Virginia Tech University,ACC,,BLR,Europe,
Ariane Titmus,Female,AUS,23,Free,Mid-D,N/A,N/A,9/7/2000,,,Austrailia,,N/A,CAC,,,,,,"University of Nevada, Las Vegas",MWC,,ISR,Asia,
Arianna Castiglioni,Female,ITA,26,Breast,Stroke,N/A,N/A,8/15/1997,,,Europe,,AQC,,,,,,,,,,NOR,Europe,
Arno Kamminga,Male,NED,28,Breast,Stroke,N/A,N/A,10/22/1995,,,Europe,,AQC,,,,,,,,,,JOR,Asia,
Ashley Twitchell,Female,USA,34,Free,Distance,Duke University,ACC,6/15/1989,,,North America,,N/A,,,,,,,,,,MEX,North America,
Austin Katz,Male,USA,25,Back,Stroke,University of Texas,SEC,3/19/1999,,,North America,,N/A,,,,,,,,,,PHI,Asia,
Bailey Andison,Female,CAN,26,"IM, Breast",Mid-D,Indiana University,B1G,11/13/1997,University of Denver,#N/A,North America,,DCT,LAC,,,,,,,,,TWN,Asia,
Baylor Nelson,Male,USA,20,"IM, Breast",Mid-D,Texas A&M University,SEC,6/23/2003,,,North America,,N/A,,,,,,,,,,PUR,North America,
Beata Nelson,Female,USA,26,"IM, Back",Stroke,University of Wisconsin,B1G,2/9/1998,,,North America,,CAC,,,,,,,,,,BEL,Europe,
Bella Sims,Female,USA,18,"IM, Free",Mid-D,University of Florida,SEC,5/25/2005,,,North America,,N/A,,,,,,,,,,VEN,South America,
Ben Proud,Male,GBR,29,"Fly, Free",Sprint,N/A,N/A,9/21/1994,,,Europe,,ENS,,,,,,,,,,BIH,Europe,
Benedetta Pilato,Female,ITA,19,Breast,Sprint,N/A,N/A,1/8/2005,,,Europe,,ENS,,,,,,,,,,,,
Beryl Gastaldello,Female,FRA,29,"Fly, Free",Sprint,Texas A&M University,SEC,2/16/1995,,,Europe,,LAC,,,,,,,,,,,,
Bethany Galat,Female,USA,28,"IM, Breast",Stroke,Texas A&M University,SEC,8/10/1995,,,North America,,N/A,DCT,,,,,,,,,,,
Bjorn Seeliger,Male,SWE,24,"Back, Free",Sprint,"University of California, Berkeley",ACC,1/11/2000,,,Europe,,N/A,,,,,,,,,,,,
Blake Pieroni,Male,USA,28,Free,Sprint,Indiana University,B1G,11/15/1995,,,North America,,N/A,"TOR, LAC",,,,,,,,,,,
Bobby Finke,Male,USA,24,"IM, Free",Distance,University of Florida,SEC,11/6/1999,,,North America,,N/A,,,,,,,,,,,,
Bowe Becker,Male,USA,26,Free,Sprint,University of Minnesota,B1G,7/7/1997,,,North America,,N/A,"TOK, CAC",,,,,,,,,,,
Brad Tandy,Male,RSA,33,Free,Sprint,University of Arizona,BIG 12,5/2/1991,,,Africa,,N/A,NYB,,,,,,,,,,,
Breeja Larson,Female,USA,32,Breast,Stroke,Texas A&M University,SEC,4/16/1992,,,North America,,N/A,NYB,,,,,,,,,,,
Brendan Burns,Male,USA,26,"Fly, Back",Stroke,Indiana University,B1G,1/1/1998,,,North America,,N/A,,,,,,,,,,,,
Brendon Smith,Male,AUS,23,"IM, Free",Mid-D,N/A,N/A,7/4/2000,,,Austrailia,,NYB,,,,,,,,,,,,
Brent Hayden,Male,CAN,40,Free,Sprint,N/A,N/A,10/21/1983,,,North America,,N/A,TOR,,,,,,,,,,,
Brianna Throssell,Female,AUS,28,"Fly, Free",Stroke,N/A,N/A,2/10/1996,,,Austrailia,,DCT,,,,,,,,,,,,
Brodie Williams,Male,GBR,25,"IM, Back",Mid-D,N/A,N/A,3/18/1999,,,Europe,,CAC,,,,,,,,,,,,
Bronte Campbell,Female,AUS,30,Free,Sprint,N/A,N/A,5/14/1994,,,Austrailia,,N/A,"LAC, LON",,,,,,,,,,,
Brooke Forde,Female,USA,25,"IM, Free",Mid-D,Stanford University,ACC,3/4/1999,,,North America,,N/A,,,,,,,,,,,,
Brooks Curry,Male,USA,23,Free,Sprint,Louisiana State University,SEC,1/20/2001,,,North America,,N/A,,,,,,,,,,,,
Bruno Fratus,Male,BRA,34,Free,Sprint,N/A,N/A,6/30/1989,,,South America,,N/A,TOK,,,,,,,,,,,
Bryce Mefford,Male,USA,25,Back,Stroke,"University of California, Berkeley",ACC,10/3/1998,,,North America,,N/A,,,,,,,,,,,,
Caeleb Dressel,Male,USA,27,"Fly, Free",Sprint,University of Florida,SEC,8/16/1996,,,North America,,CAC,,,,,,,,,,,,
Caio Pumputis,Male,BRA,25,"IM, Breast",Stroke,Georgia Tech University,ACC,1/8/1999,,,South America,,N/A,,,,,,,,,,,,
Camden Murphy,Male,USA,25,Fly,Stroke,University of Georgia,SEC,4/6/1999,,,North America,,DCT,,,,,,,,,,,,
Cameron McEvoy,Male,AUS,30,Free,Sprint,N/A,N/A,5/13/1994,,,Austrailia,,N/A,"LON, NYB",,,,,,,,,,,
Carson Foster,Male,USA,22,"IM, Back",Mid-D,University of Texas,SEC,10/26/2001,,,North America,,N/A,,,,,,,,,,,,
Caspar Corbeau,Male,NED,23,Breast,Stroke,University of Texas,SEC,4/3/2001,,,Europe,,N/A,,,,,,,,,,,,
Cate Campbell,Female,AUS,32,Free,Sprint,N/A,N/A,5/20/1992,,,Austrailia,,N/A,LON,,,,,,,,,,,
Catie DeLoof,Female,USA,27,"Back, Free",Sprint,University of Michigan,B1G,2/12/1997,,,North America,,TOK,NYB,,,,,,,,,,,
Chad Le Clos,Male,RSA,32,Fly,Stroke,N/A,N/A,4/12/1992,,,Africa,,ENS,,,,,,,,,,,,
Charlie Clark,Male,USA,21,Free,Distance,Ohio State University,B1G,6/17/2002,,,North America,,N/A,,,,,,,,,,,,
Charlie Swanson,Male,USA,26,"IM, Breast",Mid-D,University of Michigan,B1G,2/20/1998,,,North America,,ENS,,,,,,,,,,,,
Charlotte Bonnet,Female,FRA,29,"Breast, Free",Stroke,N/A,N/A,2/15/1995,,,Europe,,N/A,ENS,,,,,,,,,,,
Chase Kalisz,Male,USA,30,"IM, Fly",Mid-D,University of Georgia,SEC,3/7/1994,,,North America,,AQC,LAC,,,,,,,,,,,
Chelsea Hodges,Female,AUS,22,Breast,Stroke,N/A,N/A,6/27/2001,,,Austrailia,,TOR,,,,,,,,,,,,
Chris Guiliano,Male,USA,20,Free,Sprint,University of Notre Dame,ACC,6/25/2003,,,North America,,N/A,,,,,,,,,,,,
Christian Diener,Male,GER,30,Back,Stroke,N/A,N/A,6/3/1993,,,Europe,,LON,,,,,,,,,,,,
Claire Curzan,Female,USA,19,"Fly, Back",Stroke,University of Virginia,ACC,6/30/2004,Stanford University,ACC,North America,,N/A,,,,,,,,,,,,
Claire Weinstein,Female,USA,17,"IM, Free",Mid-D,"University of California, Berkeley",ACC,3/1/2007,,,North America,,N/A,,,,,,,,,,,,
Clyde Lewis,Male,AUS,26,Free,Mid-D,N/A,N/A,9/25/1997,,,Austrailia,,N/A,"NYB, CAC",,,,,,,,,,,
Cody Miller,Male,USA,32,Breast,Stroke,Indiana University,B1G,1/9/1992,,,North America,,DCT,,,,,,,,,,,,
Cody Simpson,Male,AUS,27,"Fly, Free",Sprint,N/A,N/A,1/11/1997,,,Austrailia,,N/A,,,,,,,,,,,,
Coleman Stewart,Male,USA,26,"Fly, Back",Stroke,North Carolina State University,ACC,3/3/1998,,,North America,,CAC,,,,,,,,,,,,
Daiya Seto,Male,JPN,29,"IM, Fly",Mid-D,N/A,N/A,5/24/1994,,,Asia,,TOK,ENS,,,,,,,,,,,
Dakota Luther,Female,USA,24,Fly,Stroke,University of Texas,SEC,11/7/1999,University of Georgia,SEC,North America,,N/A,,,,,,,,,,,,
Dakota Luther,Female,USA,24,Fly,Stroke,University of Texas,SEC,11/7/1999,University of Georgia,SEC,North America,,N/A,,,,,,,,,,,,
Danas Rapsys,Male,LTU,29,Free,Mid-D,N/A,N/A,5/21/1995,,,Europe,,N/A,ENS,,,,,,,,,,,
Daniel Jervis,Male,GBR,27,Free,Distance,N/A,N/A,6/9/1996,,,Europe,,N/A,,,,,,,,,,,,
Daniel Wiffen,Male,IRL,22,Free,Distance,N/A,N/A,7/14/2001,,,Europe,,N/A,,,,,,,,,,,,
Dare Rose,Male,USA,21,Fly,Stroke,"University of California, Berkeley",ACC,11/1/2002,,,North America,,N/A,,,,,,,,,,,,
David Curtiss,Male,USA,21,Free,Sprint,North Carolina State University,ACC,7/4/2002,,,North America,,N/A,,,,,,,,,,,,
David Johnston,Male,USA,23,"IM, Free",Distance,University of Texas,SEC,1/1/2001,,,North America,,N/A,,,,,,,,,,,,
David Popovici,Male,ROM,19,Free,Sprint,N/A,N/A,9/15/2004,,,Europe,,N/A,NYB,,,,,,,,,,,
David Verraszto,Male,HUN,35,"IM, Breast",Mid-D,N/A,N/A,8/22/1988,,,Europe,,IRO,,,,,,,,,,,,
Dean Farris,Male,USA,26,"Back, Free",Sprint,Harvard University,IV League,11/14/1997,,,North America,,N/A,,,,,,,,,,,,
Derek Maas,Male,USA,24,Breast,Stroke,University of Alabama,SEC,1/1/2000,,,North America,,N/A,,,,,,,,,,,,
Destin Lasco,Male,USA,22,"IM, Back",Stroke,"University of California, Berkeley",ACC,8/7/2001,,,North America,,N/A,,,,,,,,,,,,
Drew Kibler,Male,USA,24,Free,Mid-D,University of Texas,SEC,3/9/2000,,,North America,,N/A,,,,,,,,,,,,
Duncan Scott,Male,GBR,27,"IM, Free",Mid-D,N/A,N/A,5/6/1997,,,Europe,,LON,,,,,,,,,,,,
Dylan Carter,Male,TTO,28,"Fly, Back",Sprint,University of Southern California,B1G,1/30/1996,,,South America,,LON,LAC,,,,,,,,,,,
Eddie Wang,Male,TWN,22,Fly,Mid-D,N/A,N/A,1/23/2002,,,Asia,,CAC,,,,,,,,,,,,
Elena Di Liddo,Female,ITA,30,"Fly, Free",Sprint,N/A,N/A,9/8/1993,,,Europe,,AQC,,,,,,,,,,,,
Elijah Winnington,Male,AUS,24,Free,Mid-D,N/A,N/A,5/5/2000,,,Austrailia,,N/A,LON,,,,,,,,,,,
Elizabeth Beisel,Female,USA,31,"IM, Back",Mid-D,University of Florida,SEC,8/18/1992,,,North America,,N/A,,,,,,,,,,,,
Elizabeth Dekkers,Female,AUS,20,Fly,Stroke,N/A,N/A,5/6/2004,,,Austrailia,,N/A,,,,,,,,,,,,
Ella Eastin,Female,USA,27,"IM, Fly",Mid-D,Stanford University,ACC,3/28/1997,,,North America,,N/A,,,,,,,,,,,,
Ella Jansen,Female,CAN,18,"IM, Free",Mid-D,University of Tennessee,SEC,9/1/2005,,,North America,,N/A,,,,,,,,,,,,
Ella Nelson,Female,USA,23,"IM, Breast",Mid-D,University of Virginia,ACC,1/1/2001,,,North America,,N/A,,,,,,,,,,,,
Ellen Walshe,Female,IRL,22,"IM, Fly",Mid-D,University of Tennessee,SEC,9/29/2001,,,Europe,,N/A,,,,,,,,,,,,
Emilie Beckmann,Female,DEN,27,"Fly, Free",Sprint,N/A,N/A,2/4/1997,,,Europe,,IRO,,,,,,,,,,,,
Emily Escobedo,Female,USA,28,Breast,Stroke,"University of Maryland, Baltimore County",America East,12/17/1995,,,North America,,N/A,"CAC, NYB",,,,,,,,,,,
Emily Seebohm,Female,AUS,31,Back,Stroke,N/A,N/A,6/5/1992,,,Austrailia,,ENS,,,,,,,,,,,,
Emma McKeon,Female,AUS,29,"Fly, Free",Sprint,N/A,N/A,5/24/1994,,,Austrailia,,LON,,,,,,,,,,,,
Emma Sticklen,Female,USA,22,"Fly, Free",Stroke,University of Texas,SEC,1/1/2002,,,North America,,N/A,,,,,,,,,,,,
Emma Weyant,Female,USA,22,"IM, Free",Distance,University of Florida,SEC,12/24/2001,University of Virginia,ACC,North America,,N/A,,,,,,,,,,,,
