Name,Gender,Nationality,Age,Stroke,Speciality,US College / University,DI Conference,Birthday,Previous US College / University,Previous DI Conference,Continent 1,Continent 2,ISL Team,Former ISL Teams,Image,,,,,NCAA College,Conference,,USA,North America,
Lydia Jacoby,Female,USA,20,Breast,Stroke,University of Texas,SEC,2/29/2004,,,North America,,N/A,,,,,,,,,,,,
Maaike de Waard,Female,NED,27,"Fly, Back",Sprint,N/A,N/A,10/11/1996,,,Europe,,CAC,,,,,,,,,,,,
Mabel Zavaros,Female,CAN,23,"IM, Back",Mid-D,University of Florida,SEC,1/1/2001,,,North America,,N/A,,,,,,,,,,,,
Mack Horton,Male,AUS,28,Free,Distance,N/A,N/A,4/25/1996,,,Austrailia,,N/A,,,,,,,,,,,,
Madison Kennedy,Female,USA,36,Free,Sprint,"University of California, Berkeley",ACC,12/22/1987,,,North America,,DCT,,,,,,,,,,,,
Madison Wilson,Female,AUS,29,Free,Stroke,N/A,N/A,5/31/1994,,,Austrailia,,LAC,NYB,,,,,,,,,,,
Madisyn Cox,Female,USA,28,"IM, Breast",Mid-D,University of Texas,SEC,5/30/1995,,,North America,,N/A,,,,,,,,,,,,
Maggie MacNeil,Female,CAN,24,"Fly, Back",Sprint,Louisiana State University,SEC,2/26/2000,University of Michigan,B1G,North America,,N/A,,,,,,,,,,,,
Mallory Comerford,Female,USA,26,Free,Stroke,University of Louisville,ACC,9/6/1997,,,North America,,TOK,CAC,,,,,,,,,,,
Marcin Cieslak,Male,POL,32,IM,Stroke,University of Florida,SEC,4/7/1992,,,Europe,,CAC,,,,,,,,,,,,
Marco Koch,Male,GER,34,Breast,Stroke,N/A,N/A,1/25/1990,,,Europe,,NYB,,,,,,,,,,,,
Margherita Panziera,Female,ITA,28,"IM, Back",Stroke,N/A,N/A,8/12/1995,,,Europe,,N/A,,,,,,,,,,,,
Margo Geer,Female,USA,32,Free,Sprint,University of Arizona,BIG 12,3/17/1992,,,North America,,N/A,"LAC, DCT",,,,,,,,,,,
Mariah Denigan,Female,USA,20,Free,Distance,Indiana University,B1G,5/30/2003,,,North America,,N/A,,,,,,,,,,,,
Marie Wattel,Female,FRA,26,"Fly, Free",Sprint,N/A,N/A,6/2/1997,,,Europe,,LON,,,,,,,,,,,,
Mark Nikolaev,Male,RUS,26,"Back, Free",Sprint,Grand Canyon University,N/A,7/30/1997,,,Asia,Europe,DCT,,,,,,,,,,,,
Mark Szaranek,Male,GBR,28,IM,Mid-D,University of Florida,SEC,8/16/1995,,,Europe,,CAC,,,,,,,,,,,,
Marrit Steenbergen,Female,NED,24,"IM, Free",Stroke,N/A,N/A,1/11/2000,,,Europe,,NYB,,,,,,,,,,,,
Martina Carraro,Female,ITA,30,Breast,Stroke,N/A,N/A,6/21/1993,,,Europe,,AQC,,,,,,,,,,,,
Marwan Elkamash,Male,EGY,30,Free,Distance,Indiana University,B1G,11/14/1993,,,Asia,Africa,N/A,,,,,,,,,,,,
Mary-Sophie Harvey,Female,CAN,24,"IM, Back",Stroke,N/A,N/A,8/11/1999,,,North America,,ENS,,,,,,,,,,,,
Matt Fallon,Male,USA,22,Breast,Stroke,University of Pennsylvania,IV League,1/1/2002,,,North America,,N/A,,,,,,,,,,,,
Matt Grevers,Male,USA,39,Back,Sprint,Northwestern University,B1G,3/26/1985,,,North America,,N/A,"ENS, LAC",,,,,,,,,,,
Matt King,Male,USA,21,Free,Sprint,University of Virginia,ACC,7/9/2002,University of Alabama,SEC,North America,,N/A,,,,,,,,,,,,
Matt Richards,Male,GBR,21,Free,Sprint,N/A,N/A,12/17/2002,,,Europe,,IRO,NYB,,,,,,,,,,,
Matt Temple,Male,AUS,24,"Fly, Free",Sprint,N/A,N/A,6/20/1999,,,Austrailia,,NYB,LON,,,,,,,,,,,
Matteo Rivolta,Male,ITA,32,"Fly, Free",Sprint,N/A,N/A,11/16/1991,,,Europe,,AQC,,,,,,,,,,,,
Matthew Sates,Male,RSA,20,"IM, Free",Mid-D,University of Georgia,SEC,6/28/2003,,,Africa,,N/A,,,,,,,,,,,,
Matthew Wilson,Male,AUS,25,Breast,Stroke,N/A,N/A,12/8/1998,,,Austrailia,,LAC,LON,,,,,,,,,,,
Max Litchfield,Male,GBR,27,"IM, Free",Mid-D,N/A,N/A,3/4/1997,,,Europe,,TOR,ENS,,,,,,,,,,,
Max McHugh,Male,USA,26,Breast,Stroke,University of Minnesota,B1G,1/1/1998,,,North America,,N/A,,,,,,,,,,,,
Maxime Grousset,Male,FRA,24,"Fly, Free",Sprint,N/A,N/A,6/2/1999,,,Europe,,N/A,,,,,,,,,,,,
Maxime Rooney,Male,USA,26,"Fly, Free",Sprint,University of Texas,SEC,4/16/1998,University of Florida,SEC,North America,,N/A,LAC,,,,,,,,,,,
Maximus Williamson,Male,USA,17,"IM, Free",Stroke,University of Virginia,ACC,9/4/2006,,,North America,,N/A,,,,,,,,,,,,
Maxine Parker,Female,USA,21,Free,Sprint,University of Virginia,ACC,6/14/2002,,,North America,,N/A,,,,,,,,,,,,
Medi Harris,Female,GBR,21,Back,Stroke,N/A,N/A,9/15/2002,,,Europe,,N/A,,,,,,,,,,,,
Meg Harris,Female,AUS,22,Free,Sprint,N/A,N/A,3/7/2002,,,Austrailia,,N/A,,,,,,,,,,,,
Melanie Henique,Female,FRA,31,"Fly, Free",Sprint,N/A,N/A,12/22/1992,,,Europe,,IRO,,,,,,,,,,,,
Melanie Margalis,Female,USA,32,"IM, Breast",Mid-D,University of Georgia,SEC,12/30/1991,,,North America,,N/A,CAC,,,,,,,,,,,
Michael Andrew,Male,USA,25,"Breast, Free",Sprint,N/A,N/A,4/18/1999,,,North America,,N/A,NYB,,,,,,,,,,,
Michael Brinegar,Male,USA,24,Free,Distance,Indiana University,B1G,9/15/1999,,,North America,,N/A,,,,,,,,,,,,
Michael Chadwick,Male,USA,29,Free,Sprint,University of Missouri,SEC,4/15/1995,,,North America,,N/A,"TOR, LAC",,,,,,,,,,,
Michelle Coleman,Female,SWE,30,"Back, Free",Sprint,N/A,N/A,10/31/1993,,,Europe,,TOR,,,,,,,,,,,,
Minna Atherton,Female,AUS,24,Back,Stroke,N/A,N/A,5/17/2000,,,Austrailia,,LON,,,,,,,,,,,,
Mireia Belmonte,Female,SPN,33,"IM, Fly",Mid-D,N/A,N/A,11/10/1990,,,Europe,Africa,N/A,"LON, IRO",,,,,,,,,,,
Mitch Larkin,Male,AUS,30,"IM, Back",Stroke,N/A,N/A,7/9/1993,,,Austrailia,,N/A,CAC,,,,,,,,,,,
Mollie O'Callaghan,Female,AUS,20,"Back, Free",Sprint,N/A,N/A,4/2/2004,,,Austrailia,,N/A,,,,,,,,,,,,
Molly Hannis,Female,USA,32,Breast,Stroke,University of Tennessee,SEC,3/13/1992,,,North America,,CAC,,,,,,,,,,,,
Mona McSharry,Female,IRL,23,Breast,Stroke,University of Tennessee,SEC,8/21/2000,,,Europe,,N/A,,,,,,,,,,,,
Mykhailo Romanchuk,Male,UKR,27,Free,Distance,N/A,N/A,8/7/1996,,,Europe,,N/A,"ENS, AQC",,,,,,,,,,,
Natalie Coughlin,Female,USA,41,"Fly, Back",Stroke,"University of California, Berkeley",ACC,8/23/1982,,,North America,,N/A,DCT,,,,,,,,,,,
Natalie Hinds,Female,USA,30,"Fly, Free",Sprint,University of Florida,SEC,12/7/1993,,,North America,,CAC,,,,,,,,,,,,
Nathan Adrian,Male,USA,35,Free,Sprint,"University of California, Berkeley",ACC,12/7/1988,,,North America,,N/A,LAC,,,,,,,,,,,
Nic Fink,Male,USA,30,Breast,Stroke,University of Georgia,SEC,7/3/1993,,,North America,,CAC,,,,,,,,,,,,
Nicholas Santos,Male,BRA,44,Fly,Sprint,N/A,N/A,2/14/1980,,,South America,,IRO,,,,,,,,,,,,
Nicolas Albiero,Male,BRA,24,"Fly, Back",Stroke,University of Louisville,ACC,6/8/1999,,,South America,,N/A,,,,,,,,,,,,
Nicolo Martinenghi,Male,ITA,24,Breast,Stroke,N/A,N/A,8/1/1999,,,Europe,,AQC,,,,,,,,,,,,
Noe Ponti,Male,SUI,22,Fly,Stroke,N/A,N/A,6/1/2001,,,Europe,,N/A,,,,,,,,,,,,
Nyls Korstanje,Male,NED,25,"Fly, Free",Sprint,North Carolina State University,ACC,2/5/1999,,,Europe,,N/A,,,,,,,,,,,,
Ole Braunschweig,Male,GER,26,Back,Stroke,N/A,N/A,11/15/1997,,,Europe,,NYB,,,,,,,,,,,,
Olivia Bray,Female,USA,22,Fly,Stroke,University of Texas,SEC,1/1/2002,,,North America,,N/A,,,,,,,,,,,,
Olivia Smoliga,Female,USA,29,"Back, Free",Sprint,University of Georgia,SEC,10/12/1994,,,North America,,CAC,,,,,,,,,,,,
Paige Madden,Female,USA,25,Free,Mid-D,University of Virginia,ACC,10/22/1998,,,North America,,TOK,,,,,,,,,,,,
Patrick Callan,Male,USA,24,Free,Mid-D,"University of California, Berkeley",ACC,10/6/1999,University of Michigan,B1G,North America,,N/A,,,,,,,,,,,,
Penny Oleksiak,Female,CAN,23,"Fly, Free",Stroke,N/A,N/A,6/13/2000,,,North America,,N/A,,,,,,,,,,,,
Pernille Blume,Female,DEN,30,Free,Sprint,N/A,N/A,5/4/1994,,,Europe,,NYB,,,,,,,,,,,,
Pheobe Bacon,Female,USA,21,Back,Stroke,University of Wisconsin,B1G,8/12/2002,,,North America,,N/A,,,,,,,,,,,,
Radoslaw Kawecki,Male,POL,32,Back,Stroke,N/A,N/A,8/16/1991,,,Europe,,N/A,CAC,,,,,,,,,,,
Ranomi Kromowidjojo,Female,NED,33,"Fly, Free",Sprint,N/A,N/A,8/20/1990,,,Europe,,N/A,IRO,,,,,,,,,,,
Reece Whitley,Male,USA,24,Breast,Stroke,"University of California, Berkeley",ACC,1/3/2000,,,North America,,N/A,,,,,,,,,,,,
Regan Smith,Female,USA,22,"Fly, Back",Stroke,Stanford University,ACC,2/9/2002,,,North America,,N/A,,,,,,,,,,,,
Rhyan White,Female,USA,24,"Fly, Back",Stroke,University of Alabama,SEC,1/25/2000,,,North America,,N/A,,,,,,,,,,,,
Robert Glinta,Male,ROM,27,Back,Stroke,University of Southern California,B1G,4/18/1997,,,Europe,,IRO,,,,,,,,,,,,
Ross Dant,Male,USA,24,Free,Distance,North Carolina State University,ACC,1/1/2000,,,North America,,N/A,,,,,,,,,,,,
Ruta Meilutyte,Female,LTU,27,Breast,Sprint,N/A,N/A,3/19/1997,,,Europe,,N/A,,,,,,,,,,,,
Ryan Held,Male,USA,28,"Fly, Free",Sprint,North Carolina State University,ACC,6/27/1995,,,North America,,LAC,,,,,,,,,,,,
Ryan Hoffer,Male,USA,25,"Fly, Free",Sprint,"University of California, Berkeley",ACC,7/9/1998,,,North America,,DCT,,,,,,,,,,,,
Ryan Lochte,Male,USA,39,"IM, Back",Mid-D,University of Florida,SEC,8/3/1984,,,North America,,N/A,,,,,,,,,,,,
Ryan Murphy,Male,USA,28,Back,Stroke,"University of California, Berkeley",ACC,7/2/1995,,,North America,,LAC,,,,,,,,,,,,
Ryosuke Irie,Male,JPN,34,Back,Stroke,N/A,N/A,1/24/1990,,,Asia,,N/A,TOK,,,,,,,,,,,
Sam Short,Male,AUS,20,Free,Distance,N/A,N/A,9/17/2003,,,Austrailia,,N/A,,,,,,,,,,,,
Santo Condorelli,Male,ITA,29,"Fly, Free",Sprint,University of Southern California,B1G,1/17/1995,,,Europe,,N/A,AQC,,,,,,,,,,,
Sarah Wellbrock,Female,GER,29,Free,Distance,N/A,N/A,6/20/1994,,,Europe,,N/A,AQC,,,,,,,,,,,
Sarah Sjostrom,Female,SWE,30,"Fly, Free",Sprint,N/A,N/A,8/17/1993,,,Europe,,ENS,,,,,,,,,,,,
Se-Bom Lee,Male,AUS,22,Free,Mid-D,N/A,N/A,6/12/2001,,,Austrailia,,N/A,,,,,,,,,,,,
Sean Grieshop,Male,USA,25,"IM, Free",Distance,"University of California, Berkeley",ACC,11/23/1998,,,North America,,N/A,,,,,,,,,,,,
Serhiy Frolov,Male,UKR,32,Free,Distance,N/A,N/A,4/14/1992,,,Europe,,N/A,,,,,,,,,,,,
Shaine Casas,Male,USA,24,"IM, Back",Stroke,University of Texas,SEC,12/25/1999,Texas A&M University,SEC,North America,,N/A,,,,,,,,,,,,
Shane Ryan,Male,IRL,30,"Back, Free",Sprint,Penn State University,B1G,1/27/1994,,,Europe,,TOR,LAC,,,,,,,,,,,
Shayna Jack,Female,AUS,25,Free,Sprint,N/A,N/A,11/6/1998,,,Austrailia,,N/A,,,,,,,,,,,,
Sherridon Dressel,Female,USA,25,Back,Stroke,University of Florida,SEC,7/20/1998,,,North America,,CAC,,,,,,,,,,,,
Sierra Schmidt,Female,USA,26,Free,Distance,University of Michigan,B1G,5/6/1998,,,North America,,N/A,,,,,,,,,,,,
Simona Quadarella,Female,ITA,25,Free,Distance,N/A,N/A,12/18/1998,,,Europe,,N/A,,,,,,,,,,,,
Simone Manuel,Female,USA,27,Free,Sprint,Stanford University,ACC,8/2/1996,,,North America,,N/A,,,,,,,,,,,,
Simone Sabbioni,Male,ITA,27,Back,Stroke,N/A,N/A,10/3/1996,,,Europe,,AQC,,,,,,,,,,,,
Siobhan Haughey,Female,HKG,26,Free,Mid-D,University of Michigan,B1G,10/31/1997,,,Asia,,ENS,,,,,,,,,,,,
Sophie Hansson,Female,SWE,25,Breast,Stroke,North Carolina State University,ACC,8/2/1998,,,Europe,,N/A,,,,,,,,,,,,
Summer McIntosh,Female,CAN,17,"IM, Free",Mid-D,N/A,N/A,8/18/2006,,,North America,,TOR,,,,,,,,,,,,
Sun Yang,Male,CHN,32,Free,Distance,N/A,N/A,12/1/1991,,,Asia,,N/A,,,,,,,,,,,,
Sydney Pickrem,Female,CAN,27,"IM, Breast",Mid-D,Texas A&M University,SEC,5/21/1997,,,North America,,LON,,,,,,,,,,,,
Szebasztian Szabo,Male,HUN,28,"Fly, Free",Sprint,N/A,N/A,3/11/1996,,,Europe,,AQC,IRO,,,,,,,,,,,
Tatjana Schoenmaker,Female,RSA,26,Breast,Stroke,N/A,N/A,7/9/1997,,,Africa,,N/A,,,,,,,,,,,,
Taylor Ruck,Female,CAN,23,"Back, Free",Stroke,Stanford University,ACC,5/28/2000,,,North America,,N/A,,,,,,,,,,,,
Tes Schouten,Female,NED,23,Breast,Stroke,N/A,N/A,12/31/2000,,,Europe,,NYB,,,,,,,,,,,,
Tessa Cieplucha,Female,CAN,25,"IM, Breast",Mid-D,University of Tennessee,SEC,9/24/1998,,,North America,,TOR,,,,,,,,,,,,
Thom De Boer,Male,NED,32,Free,Sprint,N/A,N/A,12/24/1991,,,Europe,,IRO,,,,,,,,,,,,
Thomas Ceccon,Male,ITA,23,"Back, Free",Sprint,N/A,N/A,1/27/2001,,,Europe,,AQC,,,,,,,,,,,,
Thomas Heilman,Male,USA,17,"IM, Fly",Stroke,University of Virginia,ACC,2/7/2007,,,North America,,N/A,,,,,,,,,,,,
Thomas Neill,Male,AUS,21,Free,Distance,N/A,N/A,6/9/2002,,,Austrailia,,N/A,,,,,,,,,,,,
Tom Dean,Male,GBR,24,"IM, Free",Mid-D,N/A,N/A,5/2/2000,,,Europe,,LON,,,,,,,,,,,,
Tom Shields,Male,USA,32,Fly,Stroke,"University of California, Berkeley",ACC,7/11/1991,,,North America,,LAC,,,,,,,,,,,,
Tommy Cope,Male,USA,26,"IM, Breast",Mid-D,University of Michigan,B1G,11/1/1997,,,North America,,DCT,,,,,,,,,,,,
Tomoe Hvas,Male,NOR,23,"IM, Fly",Mid-D,N/A,N/A,6/1/2000,,,Europe,,N/A,,,,,,,,,,,,
Tomoru Honda,Male,JPN,22,"IM, Fly",Mid-D,N/A,N/A,12/31/2001,,,Asia,,TOK,,,,,,,,,,,,
Torri Huske,Female,USA,21,"Fly, Free",Sprint,Stanford University,ACC,12/7/2002,,,North America,,N/A,,,,,,,,,,,,
Townley Haas,Male,USA,27,Free,Mid-D,University of Texas,SEC,12/13/1996,,,North America,,N/A,CAC,,,,,,,,,,,
Trenton Julian,Male,USA,25,"Fly, Free",Mid-D,"University of California, Berkeley",ACC,12/9/1998,,,North America,,N/A,,,,,,,,,,,,
Trey Freeman,Male,USA,24,Free,Mid-D,University of Florida,SEC,1/1/2000,,,North America,,N/A,,,,,,,,,,,,
Valentine Dumont,Female,BEL,24,Free,Distance,N/A,N/A,2/7/2000,,,Europe,,LAC,IRO,,,,,,,,,,,
Viktoria Gunes,Female,TUR,25,"IM, Breast",Mid-D,N/A,N/A,6/19/1998,,,Asia,Europe,ENS,,,,,,,,,,,,
Vini Lanza,Male,BRA,27,"IM, Fly",Stroke,Indiana University,B1G,3/22/1997,,,South America,,LON,,,,,,,,,,,,
Vladimir Morozov,Male,RUS,31,Free,Sprint,University of Southern California,B1G,6/16/1992,,,Asia,Europe,TOK,IRO,,,,,,,,,,,
Wang Shun,Male,CHN,30,IM,Stroke,N/A,N/A,2/11/1994,,,Asia,,N/A,,,,,,,,,,,,
Will Gallant,Male,USA,22,Free,Distance,North Carolina State University,ACC,7/19/2001,,,North America,,N/A,,,,,,,,,,,,
Will Licon,Male,USA,29,"IM, Breast",Stroke,University of Texas,SEC,8/25/1994,,,North America,,LAC,,,,,,,,,,,,
Xu Jiayu,Male,CHN,28,Back,Stroke,N/A,N/A,8/19/1995,,,Asia,,N/A,,,,,,,,,,,,
Ye Shiwen,Female,CHN,28,"IM, Breast",Mid-D,N/A,N/A,3/1/1996,,,Asia,,N/A,,,,,,,,,,,,
Yohann Ndoye-Brouard,Male,FRA,23,Back,Stroke,N/A,N/A,11/29/2000,,,Europe,,N/A,,,,,,,,,,,,
Youssef Ramadan,Male,EGY,21,"Fly, Free",Sprint,Virginia Tech University,ACC,7/7/2002,,,Asia,Africa,N/A,,,,,,,,,,,,
Yu Yiting,Female,CHN,18,IM,Stroke,N/A,N/A,9/5/2005,,,Asia,,N/A,,,,,,,,,,,,
Yui Ohashi,Female,JPN,28,IM,Stroke,N/A,N/A,10/18/1995,,,Asia,,TOK,,,,,,,,,,,,
Yulia Efimova,Female,RUS,32,Breast,Stroke,N/A,N/A,4/3/1992,,,Asia,Europe,N/A,,,,,,,,,,,,
Zac Stubblety-Cook,Male,AUS,25,Breast,Stroke,N/A,N/A,1/4/1999,,,Austrailia,,TOK,,,,,,,,,,,,
Zach Apple,Male,USA,27,Free,Sprint,Indiana University,B1G,4/23/1997,Auburn University,SEC,North America,,DCT,,,,,,,,,,,,
Zach Harting,Male,USA,26,Fly,Stroke,University of Louisville,ACC,8/27/1997,,,North America,,DCT,,,,,,,,,,,,
Zane Grothe,Male,USA,32,Free,Distance,Auburn University,SEC,4/22/1992,,,North America,,DCT,,,,,,,,,,,,
Zane Waddell,Male,RSA,26,"Back, Free",Sprint,University of Alabama,SEC,3/18/1998,,,Africa,,N/A,,,,,,,,,,,,
Zhang Yufei,Female,CHN,26,Fly,Stroke,N/A,N/A,4/19/1998,,,Asia,,N/A,,,,,,,,,,,,
Zhanle Pan,Male,CHN,19,Free,Stroke,N/A,N/A,8/4/2004,,,Asia,,N/A,,,,,,,,,,,,
Zoie Hartman,Female,USA,23,"IM, Breast",Stroke,University of Georgia,SEC,12/20/2000,,,North America,,N/A,,,,,,,,,,,,
Zsuzsanna Jakabos,Female,HUN,35,"IM, Fly",Mid-D,"University of Nevada, Las Vegas",MWC,4/3/1989,,,Europe,,DCT,ENS,,,,,,,,,,,